  Time                  (V(MagIn))@1          (V(MagIn))@2         
  2.547755630914e-007  1.142404540082e-002  1.142391842824e-002  
  2.555250914995e-007  1.280887953899e-002  1.280872914592e-002  
  2.570241483156e-007  1.606662420081e-002  1.606644442307e-002  
  2.589750828449e-007  2.177917579345e-002  2.177900343729e-002  
  2.610350160901e-007  2.995878420456e-002  2.995863309245e-002  
  2.624150498811e-007  3.667860650369e-002  3.667846470850e-002  
  2.651751174633e-007  5.405557870649e-002  5.405545416824e-002  
  2.686251088087e-007  8.606117543115e-002  8.606105896853e-002  
  2.720751001541e-007  1.339269601254e-001  1.339268320384e-001  
  2.755250914995e-007  1.990193411314e-001  1.990192148025e-001  
  2.789750828449e-007  2.771085021658e-001  2.771084000269e-001  
  2.815373804702e-007  3.353633380714e-001  3.353632448105e-001  
  2.839971896743e-007  3.836240692021e-001  3.836239778333e-001  
  2.874471810197e-007  4.054904861062e-001  4.054904055859e-001  
  2.908971723651e-007  3.695269492510e-001  3.695268873004e-001  
  2.933569815292e-007  3.289222913773e-001  3.289222372833e-001  
  2.968069728746e-007  2.981875840057e-001  2.981875301146e-001  
  3.000000000600e-007  3.500208277650e-001  3.500207720339e-001  
  3.024150498811e-007  4.346640331183e-001  4.346639832966e-001  
  3.058650412265e-007  5.315280282472e-001  5.315279875619e-001  
  3.086251088087e-007  5.588721721558e-001  5.588721341270e-001  
  3.120751001541e-007  5.881710937474e-001  5.881710655071e-001  
  3.155250914995e-007  6.362439074759e-001  6.362438941529e-001  
  3.189750828449e-007  7.128056341347e-001  7.128056258174e-001  
  3.203449991945e-007  7.506196871215e-001  7.506196772543e-001  
  3.224150498811e-007  8.161533889314e-001  8.161533751610e-001  
  3.258650412265e-007  9.088359966520e-001  9.088359820156e-001  
  3.293150325719e-007  9.188492624900e-001  9.188492499602e-001  
  3.327650239174e-007  8.384765269647e-001  8.384765179118e-001  
  3.362150152628e-007  7.686942510635e-001  7.686942511110e-001  
  3.396650066082e-007  8.200824928886e-001  8.200825025246e-001  
  3.431149979536e-007  1.023272896820e+000  1.023272908723e+000  
  3.465649892990e-007  1.328367397873e+000  1.328367400061e+000  
  3.493250568811e-007  1.545241608277e+000  1.545241605488e+000  
  3.527750482265e-007  1.785755365393e+000  1.785755389897e+000  
  3.562250395719e-007  2.113855949527e+000  2.113856438702e+000  
  3.596750309173e-007  2.671950422337e+000  2.671951384404e+000  
  3.631250222627e-007  3.734588558034e+000  3.734588976539e+000  
  3.665750136081e-007  5.378885133486e+000  5.378884917115e+000  
  3.700250049535e-007  7.628727701495e+000  7.628727431615e+000  
  3.734749962989e-007  1.049926084536e+001  1.049926077826e+001  
  3.769249876444e-007  1.400971143869e+001  1.400971150059e+001  
  3.803749789898e-007  1.813032724054e+001  1.813032735952e+001  
  3.838249703352e-007  2.273040357355e+001  2.273040377576e+001  
  3.872749616806e-007  2.762318630040e+001  2.762318653190e+001  
  3.907249530260e-007  3.270481103202e+001  3.270481121578e+001  
  3.941749443714e-007  3.788308253410e+001  3.788308266874e+001  
  3.970241483356e-007  4.218259038017e+001  4.218259049352e+001  
  4.004741396810e-007  4.736437447689e+001  4.736437456486e+001  
  4.024150499011e-007  5.025473540087e+001  5.025473546869e+001  
  4.051751174833e-007  5.430968393658e+001  5.430968397251e+001  
  4.086251088287e-007  5.925839217575e+001  5.925839218995e+001  
  4.120751001741e-007  6.404186695737e+001  6.404186696210e+001  
  4.155250915195e-007  6.864627093365e+001  6.864627093001e+001  
  4.189750828649e-007  7.304983118800e+001  7.304983117867e+001  
  4.224250742103e-007  7.721863976117e+001  7.721863976700e+001  
  4.258750655557e-007  8.115371308382e+001  8.115371312716e+001  
  4.293250569011e-007  8.487221369039e+001  8.487221372782e+001  
  4.327750482465e-007  8.838325010199e+001  8.838325012303e+001  
  4.333569815492e-007  8.895522988644e+001  8.895522990487e+001  
  4.345207622384e-007  9.008409216351e+001  9.008409218335e+001  
  4.368483236169e-007  9.229150930235e+001  9.229150935056e+001  
  4.402983149623e-007  9.545623439754e+001  9.545623452317e+001  
  4.437483063077e-007  9.851723380044e+001  9.851723397764e+001  
  4.471982976531e-007  1.015016516475e+002  1.015016517698e+002  
  4.506482889985e-007  1.044272761803e+002  1.044272762284e+002  
  4.520751001741e-007  1.056272022275e+002  1.056272022856e+002  
  4.549286725427e-007  1.080128582923e+002  1.080128583850e+002  
  4.583786638881e-007  1.108503335480e+002  1.108503336019e+002  
  4.604335384326e-007  1.125075324825e+002  1.125075325124e+002  
  4.624150499011e-007  1.140763314784e+002  1.140763315177e+002  
  4.658650412465e-007  1.167200112700e+002  1.167200113234e+002  
  4.693150325919e-007  1.192197990316e+002  1.192197990035e+002  
  4.727650239374e-007  1.215442122840e+002  1.215442121377e+002  
  4.762150152828e-007  1.236393285720e+002  1.236393284502e+002  
  4.796650066282e-007  1.254695624144e+002  1.254695624426e+002  
  4.831149979736e-007  1.270198436613e+002  1.270198436899e+002  
  4.865649893190e-007  1.282854984413e+002  1.282854983538e+002  
  4.900149806644e-007  1.292583150185e+002  1.292583148913e+002  
  4.934649720098e-007  1.299527352570e+002  1.299527350686e+002  
  4.969149633552e-007  1.304001368842e+002  1.304001365461e+002  
  5.003649547006e-007  1.306350902731e+002  1.306350899702e+002  
  5.038149460460e-007  1.306997351845e+002  1.306997353037e+002  
